district_encoded,property_type_encoded,bedrooms,bathrooms,house_size,land_size,bed_bath_ratio,total_rooms,has_house_size,has_land_size,is_apartment,log_house_size,log_land_size
3,0,6,3,3000.0,14.3,2.0,9,1,1,0,8.006700845440367,2.72785282839839
3,0,2,2,1800.0,9.6,1.0,4,1,1,0,7.496097345175956,2.3608540011180215
3,0,4,3,3450.0,6.0,1.3333333333333333,7,1,1,0,8.146419323098003,1.9459101490553132
3,0,4,4,3500.0,20.0,1.0,8,1,1,0,8.160803920954665,3.044522437723423
3,0,4,4,4300.0,10.0,1.0,8,1,1,0,8.366602832783736,2.3978952727983707
3,0,4,3,3200.0,7.5,1.3333333333333333,7,1,1,0,8.071218539969863,2.1400661634962708
5,0,5,3,3500.0,10.5,1.6666666666666667,8,1,1,0,8.160803920954665,2.4423470353692043
5,0,2,1,779.0,6.0,2.0,3,1,1,0,6.659293919683638,1.9459101490553132
3,0,3,2,1200.0,6.3,1.5,5,1,1,0,7.0909098220799835,1.9878743481543455
3,0,3,1,1500.0,9.2,3.0,4,1,1,0,7.313886831633462,2.322387720290225
5,0,5,3,2600.0,10.5,1.6666666666666667,8,1,1,0,7.8636512654486515,2.4423470353692043
3,0,4,3,3500.0,7.1,1.3333333333333333,7,1,1,0,8.160803920954665,2.0918640616783932
3,0,3,1,950.0,6.0,3.0,4,1,1,0,6.85751406254539,1.9459101490553132
5,0,4,3,2500.0,11.0,1.3333333333333333,7,1,1,0,7.824445930877619,2.4849066497880004
5,0,2,1,1150.0,13.3,2.0,3,1,1,0,7.048386408721883,2.6602595372658615
3,0,5,3,3000.0,22.0,1.6666666666666667,8,1,1,0,8.006700845440367,3.1354942159291497
3,0,3,2,2000.0,6.2,1.5,5,1,1,0,7.601402334583733,1.9740810260220096
3,0,3,2,1365.0,6.0,1.5,5,1,1,0,7.2196420401307355,1.9459101490553132
3,0,4,3,2000.0,8.7,1.3333333333333333,7,1,1,0,7.601402334583733,2.272125885509337
3,0,4,5,3250.0,8.0,0.8,9,1,1,0,8.086717920303906,2.1972245773362196
3,0,4,3,3000.0,6.0,1.3333333333333333,7,1,1,0,8.006700845440367,1.9459101490553132
3,0,4,4,4600.0,12.0,1.0,8,1,1,0,8.434028950155469,2.5649493574615367
3,0,4,4,3500.0,10.0,1.0,8,1,1,0,8.160803920954665,2.3978952727983707
8,0,4,3,2000.0,58.5,1.3333333333333333,7,1,1,0,7.601402334583733,4.085976312551584
3,0,4,4,3218.0,9.0,1.0,8,1,1,0,8.076826031298808,2.302585092994046
5,0,5,2,2800.0,20.0,2.5,7,1,1,0,7.937731775260109,3.044522437723423
